Aps,Easting,Northing,Location
AP-41,543520,3109728,Tarkughat/L
AP-42,543973,3109199,Tarkughat/L
AP-43,544195,3108995,Tarkughat/L
AP-44,544812,3108260,Dharniikuwa!L
AP-45,545416,3107612,Dharniikuwa/L
AP-46,545662,3107195,Dharniikuwa/L
AP-47,546180,3106758,Dhamiikuwa/L
AP-48,546522,3106061,Dhamiikuwa/L
AP-49,547128,3105036,Dhamiikuwa/L
AP-50,547059,3104713,Dhamiikuwa/L
AP-51,547330,3103894,Palunghat-9/G
AP-52,546919,3103006,Palunghat-9/G
AP-53,546518,3102604,Palunghat-9/G
AP-54,546291,3102116,Palunghat-9/G
AP-55,546362,3101772,Palunghat-9/G
AP-56,546444,3101360,Palunghat-9/G
AP-57,546564,3100675,Gaekhur/G
AP-58,546068,3099723,Gaekhur/G
AP-59,545907,3099187,Gaekhur/G
AP-60,545487,3098721,Gaekhur/G
AP-61,545253,3098592,Gaekhur/G
AP-62,544629,3098037,Bhanu-1/T
AP-63,544245,3097627,Bhanu-1/T
AP-64,543812,3097292,Bhanu-1/T
AP-65,543428,3096472,Changling/G
AP-66,543410,3096085,Changling/G
AP-67,543657,3095393,Changling/G
AP-68,544146,3094987,Changling/G
AP-69,544252,3094506,Changling/G
AP-70,544655,3094199,Changling/G
AP-71,544788,3093791,Changling/G
AP-72,545414,3092949,Changling/G
AP-73,546217,3092250,Dhuwakot/G
AP-74,546344,3091837,Dhuwakot/G
AP-75,546926,3091051,Dhuwakot/G
AP-76,547164,3090407,Abukhaireni/T
AP-77,547780,3090290,Deurali/G
AP-78,547869,3090115,Deurali/G
AP-79,548732,3089947,Deurali/G
AP-80,549114,3089989,Deurali-3/G
AP-81,549641,3089509,Abukhaireni(Markhichok)./T
